transaction_id,date,period,region,channel,customer_segment,product_category,order_completed,revenue
7871,2026-05-04,pre_launch,North,Web,New Customer,Grocery,0,0.0
1332,2026-05-04,pre_launch,North,Web,New Customer,Grocery,1,855.43
9931,2026-05-04,pre_launch,South,Web,Returning Customer,Electronics,1,4638.11
2237,2026-05-04,pre_launch,East,Android App,Returning Customer,Grocery,1,656.27
5572,2026-05-04,pre_launch,West,iOS App,Returning Customer,Grocery,1,635.7
4353,2026-05-04,pre_launch,North,iOS App,New Customer,Grocery,0,0.0
11186,2026-05-04,pre_launch,West,Web,New Customer,Fashion,1,1265.01
12880,2026-05-04,pre_launch,East,Android App,Returning Customer,Electronics,1,3657.0
2257,2026-05-04,pre_launch,North,Web,Returning Customer,Grocery,1,900.7
5583,2026-05-04,pre_launch,North,Web,New Customer,Fashion,1,1077.84
13087,2026-05-04,pre_launch,West,Android App,New Customer,Electronics,1,3030.56
8837,2026-05-04,pre_launch,South,Web,New Customer,Home,1,2773.42
1292,2026-05-04,pre_launch,North,Android App,Returning Customer,Grocery,0,0.0
4307,2026-05-04,pre_launch,North,Web,New Customer,Electronics,1,2911.28
6277,2026-05-04,pre_launch,North,Android App,Returning Customer,Fashion,1,1093.44
2303,2026-05-04,pre_launch,North,Web,New Customer,Fashion,1,1322.68
2312,2026-05-04,pre_launch,South,Web,Returning Customer,Electronics,1,3521.0
6778,2026-05-04,pre_launch,North,Web,New Customer,Electronics,0,0.0
2323,2026-05-04,pre_launch,South,Android App,Returning Customer,Beauty,0,0.0
2326,2026-05-04,pre_launch,East,Android App,New Customer,Beauty,1,1237.07
8863,2026-05-04,pre_launch,West,iOS App,Returning Customer,Fashion,1,1069.24
5367,2026-05-04,pre_launch,East,iOS App,Returning Customer,Grocery,1,613.58
7839,2026-05-04,pre_launch,North,Web,New Customer,Grocery,1,1126.33
2352,2026-05-04,pre_launch,East,Android App,New Customer,Electronics,1,3043.58
4269,2026-05-04,pre_launch,South,Android App,Returning Customer,Electronics,1,3125.74
9868,2026-05-04,pre_launch,North,iOS App,Returning Customer,Electronics,1,3304.8
7451,2026-05-04,pre_launch,East,iOS App,Returning Customer,Beauty,1,1568.19
10431,2026-05-04,pre_launch,West,Android App,Returning Customer,Fashion,1,1440.7
8201,2026-05-04,pre_launch,North,iOS App,Returning Customer,Electronics,1,3088.62
7001,2026-05-04,pre_launch,East,Web,New Customer,Electronics,1,3297.9
11742,2026-05-04,pre_launch,West,Android App,Returning Customer,Home,0,0.0
1344,2026-05-04,pre_launch,East,Web,New Customer,Electronics,0,0.0
2218,2026-05-04,pre_launch,East,Web,Returning Customer,Home,1,2707.83
4433,2026-05-04,pre_launch,East,Web,Returning Customer,Home,1,2847.53
2119,2026-05-04,pre_launch,North,Android App,Returning Customer,Home,1,2720.87
4888,2026-05-04,pre_launch,West,Web,Returning Customer,Electronics,1,3572.92
1383,2026-05-04,pre_launch,North,Web,Returning Customer,Grocery,0,0.0
4890,2026-05-04,pre_launch,North,iOS App,Returning Customer,Electronics,0,0.0
4895,2026-05-04,pre_launch,North,Web,Returning Customer,Grocery,1,636.82
826,2026-05-04,pre_launch,South,iOS App,Returning Customer,Beauty,1,1021.78
2147,2026-05-04,pre_launch,East,Web,New Customer,Grocery,1,963.05
2150,2026-05-04,pre_launch,South,Android App,New Customer,Home,1,1782.02
9963,2026-05-04,pre_launch,North,Android App,Returning Customer,Fashion,0,0.0
10369,2026-05-04,pre_launch,East,Web,Returning Customer,Grocery,1,827.72
4417,2026-05-04,pre_launch,East,Web,Returning Customer,Grocery,1,818.24
12142,2026-05-04,pre_launch,South,iOS App,Returning Customer,Fashion,0,0.0
4376,2026-05-04,pre_launch,East,iOS App,New Customer,Grocery,0,0.0
8580,2026-05-04,pre_launch,South,Android App,Returning Customer,Fashion,1,1495.1
7463,2026-05-04,pre_launch,North,iOS App,Returning Customer,Electronics,0,0.0
9959,2026-05-04,pre_launch,North,iOS App,Returning Customer,Grocery,1,1055.18
12455,2026-05-04,pre_launch,East,Android App,Returning Customer,Grocery,0,0.0
12086,2026-05-04,pre_launch,East,Web,Returning Customer,Fashion,1,1645.04
11771,2026-05-04,pre_launch,West,Web,Returning Customer,Home,1,3236.11
5932,2026-05-04,pre_launch,East,Web,Returning Customer,Electronics,0,0.0
390,2026-05-04,pre_launch,North,iOS App,Returning Customer,Beauty,1,756.78
5560,2026-05-04,pre_launch,West,Web,New Customer,Electronics,1,2605.06
6811,2026-05-04,pre_launch,West,Android App,Returning Customer,Electronics,1,2662.21
8579,2026-05-04,pre_launch,West,Android App,New Customer,Fashion,1,1583.71
385,2026-05-04,pre_launch,North,Web,New Customer,Beauty,0,0.0
5561,2026-05-04,pre_launch,East,Android App,Returning Customer,Electronics,1,3225.37
2214,2026-05-04,pre_launch,East,iOS App,Returning Customer,Fashion,1,1494.16
12454,2026-05-04,pre_launch,North,Android App,Returning Customer,Electronics,1,3269.7
11177,2026-05-04,pre_launch,North,Web,Returning Customer,Beauty,1,1003.35
5001,2026-05-04,pre_launch,South,Web,Returning Customer,Grocery,1,878.41
7577,2026-05-04,pre_launch,West,Web,New Customer,Home,0,0.0
11696,2026-05-04,pre_launch,North,Web,Returning Customer,Grocery,1,898.9
12256,2026-05-04,pre_launch,North,Web,Returning Customer,Grocery,1,933.23
2527,2026-05-04,pre_launch,North,Web,Returning Customer,Fashion,1,1864.66
10928,2026-05-04,pre_launch,East,Web,New Customer,Grocery,1,520.17
6935,2026-05-04,pre_launch,West,Web,Returning Customer,Fashion,0,0.0
8925,2026-05-04,pre_launch,West,iOS App,New Customer,Grocery,1,910.59
12828,2026-05-04,pre_launch,East,Web,New Customer,Home,1,2596.32
5032,2026-05-04,pre_launch,South,iOS App,Returning Customer,Fashion,1,1244.78
11702,2026-05-04,pre_launch,East,Android App,New Customer,Electronics,0,0.0
8177,2026-05-04,pre_launch,West,iOS App,Returning Customer,Grocery,1,965.37
6723,2026-05-04,pre_launch,South,Android App,New Customer,Beauty,1,1129.23
2551,2026-05-04,pre_launch,South,Web,Returning Customer,Fashion,0,0.0
7593,2026-05-04,pre_launch,West,iOS App,Returning Customer,Grocery,1,934.54
9786,2026-05-04,pre_launch,North,Web,Returning Customer,Home,1,2245.84
5037,2026-05-04,pre_launch,North,Web,Returning Customer,Electronics,1,3277.03
12518,2026-05-04,pre_launch,East,iOS App,Returning Customer,Electronics,1,3480.54
8048,2026-05-04,pre_launch,East,Web,Returning Customer,Grocery,1,537.29
5038,2026-05-04,pre_launch,South,Android App,New Customer,Electronics,1,3496.39
702,2026-05-04,pre_launch,North,Android App,Returning Customer,Fashion,0,0.0
7599,2026-05-04,pre_launch,West,Web,Returning Customer,Grocery,1,521.43
